category,name,NAMESPACE,FRIENDLY_NAME
CEX,Binance CEX,binance,Binance
Liquid Staking,Lido,lido,Lido
CEX,OKX,okx,Okx
CEX,Bitfinex,,
CDP,MakerDAO,makerdao,Makerdao
Chain,Polygon Bridge & Staking,polygon_pos_bridge,Polygon Pos Bridge
Dexes,Curve DEX,curvefi,Curvefi
Bridge,WBTC,wbtc,Wbtc
Lending,JustLend,,
Lending,AAVE V2,aave,Aave
CEX,Crypto-com,cryptocom,Crypto.com
Yield,Convex Finance,convex,Convex
Bridge,JustCryptos,,
CEX,Huobi,huobi,Huobi
Dexes,Uniswap V3,uniswap,Uniswap
CEX,Bybit,bybit,Bybit
CEX,Kucoin,kucoin,Kucoin
Liquid Staking,Coinbase Wrapped Staked ETH,coinbase,Coinbase
Services,Instadapp,instadapp,Instadapp
CEX,Gate-io,,
CEX,Deribit,,
Dexes,PancakeSwap AMM,pancakeswap,Pancakeswap
Bridge,Multichain,multichain,Multichain
CEX,Bitget,,
Liquid Staking,Rocket Pool,rocket_pool,Rocket Pool
Lending,AAVE V3,aave,Aave
Lending,Compound,compound_v3,Compound V3
CDP,JustStables,,
Dexes,Uniswap V2,uniswap,Uniswap
Dexes,Balancer V2,balancer_v2,Balancer V2
CEX,Bitmex,bitmex_token,Bitmex Token
Lending,Venus,venus,Venus
CDP,Liquity,liquity,Liquity
Derivatives,GMX,gmx,GMX
Yield,Aura,aura_finance,Aura Finance
CEX,SwissBorg,swissborg,Swissborg
Lending,Compound V3,compound_v3,Compound V3
Cross Chain,Stargate,stargate,Stargate
Yield Aggregator,Yearn Finance,yearn,Yearn
Dexes,SushiSwap,sushiswap,Sushiswap
Dexes,SUNSwap,,
Synthetics,Synthetix,synthetix,Synthetix
Derivatives,dYdX,dydx,Dydx
CEX,Binance US,binance,Binance
CEX,Korbit,,
Liquid Staking,Frax Ether,frax,Frax
Lending,Morpho Aave,morpho,Morpho
Yield Aggregator,Beefy,beefy_finance,Beefy Finance
Bridge,Poly Network,poly_network,Poly Network
Dexes,PancakeSwap AMM V3,pancakeswap,Pancakeswap
Bridge,Portal,,
CEX,Nexo,nexo,Nexo
Privacy,Tornado Cash,tornado_cash,Tornado Cash
Indexes,Bwatch,,
Dexes,Velodrome,velodrome,Velodrome
Insurance,Nexus Mutual,nexusmutual,Nexusmutual
Lending,Radiant V2,radiant,Radiant
CDP,Abracadabra,abracadabra,Abracadabra
Bridge,hBTC,,
Launchpad,UniCrypt,unicrypt,Unicrypt
Dexes,Chronos,chronos,Chronos
Yield,Coinwind,,
Chain,Stacks Staking,,
Bridge,Synapse,synapse,Synapse
Leveraged Farming,Alpaca Leveraged Yield Farming,alpaca,Alpaca
Launchpad,PinkSale,pinksale,Pinksale
Liquidity manager,Arrakis V1,arrakis,Arrakis
Dexes,BiSwap,biswap,Biswap
Dexes,VVS Finance,,
Liquid Staking,StakeWise,stakewise,Stakewise
Dexes,Chainge Finance,,
Liquid Staking,Ankr,ankr,Ankr
Dexes,Osmosis DEX,,
Chain,xDAI Stake Bridge,,
Liquid Staking,Parallel Liquid Crowdloan,parallel,Parallel
NFT Lending,ParaSpace Lending,paraspace,Paraspace
NFT Lending,BendDAO Lending,bend,Bend
Payments,Lightning Network,lightning,Lightning
Bridge,ChainPort,chainport,Chainport
Bridge,Orbit Bridge,orbit_defi,Orbit Defi
Dexes,DefiChain DEX,defichain,Defichain
Algo-Stables,Frax,frax,Frax
Bridge,cBridge,celer,Celer
Lending,Benqi Lending,benqi_finance,Benqi Finance
Liquid Staking,Binance staked ETH,,
Liquid Staking,Acala LCDOT,,
Lending,Tectonic,,
Dexes,Balancer V1,balancer_v1,Balancer V1
Lending,Fraxlend,fraxlend,Fraxlend
Services,DefiSaver,defisaver,Defisaver
Liquid Staking,StakeHound,stakehound,Stakehound
RWA,Ondo Finance,ondofinance,Ondofinance
NFT Marketplace,Blur Bids,blur,Blur
CEX,Firi,,
Liquid Staking,Stader,stader,Stader
CEX,MaskEX,mask,Mask
Dexes,KlaySwap,,
Launchpad,Team Finance,team_finance,Team Finance
Dexes,Thorchain,thor_swap,Thor Swap
Dexes,Loopring,loopring,Loopring
Algo-Stables,Mento,,
CEX,Cake DeFi,,
Liquidity manager,Gamma,gamma,Gamma
Liquid Staking,Marinade Finance,,
Cross Chain,Hop Protocol,hop_protocol,Hop Protocol
Synthetics,DefiChain Loans,defichain,Defichain
Dexes,Wombat Exchange,wombatexchange,Wombatexchange
Lending,Alpaca Lending,alpaca,Alpaca
CEX,WOO X,wooswap,Wooswap
Liquid Staking,Benqi Staked Avax,benqi_finance,Benqi Finance
CEX,Phemex,,
Dexes,SUN.io,,
Yield,Conic Finance,conicfinance,Conic Finance
Lending,Kava Lend,,
Dexes,Camelot V2,camelot,Camelot
CEX,Coinsquare,,
Dexes,Quickswap Dex,quickswap,QuickSwap
Lending,Algofi Lend,,
Dexes,Katana DEX,,
Yield,Sushi BentoBox,sushi_bento_box_v1,Sushi Bento Box V1
Indexes,Set Protocol,setprotocol,Setprotocol
Leveraged Farming,Gearbox,gearbox,Gearbox
Indexes,Enzyme Finance,enzyme,Enzyme
RWA,RealT Tokens,,
Liquid Staking,OKC Liquid Staking,,
Dexes,Beethoven X,beethovenx,Beethovenx
Payments,Flexa,flexacoin,Flexacoin
Dexes,Canto Dex,,
RWA,MatrixDock,,
CDP,Kava Mint,,
Dexes,SpookySwap,,
Lending,UwU Lend,uwulend,Uwulend
Launchpad,DxSale,,
Yield,Pendle,pendle,Pendle
Yield,Concentrator,concentrator,Concentrator
Dexes,Bancor V3,bancor3,Bancor3
Dexes,Frax Swap,fraxswap,Fraxswap
Yield,Wombex Finance,wombex,Wombex
Yield Aggregator,Flamincome,,
Dexes,Quickswap V3,quickswap_v3,QuickSwap V3
Indexes,Index Coop,indexcoop,Indexcoop
Dexes,4Swap,,
CEX,CoinDCX,,
Derivatives,Gains Network,gains_network,Gains Network
CDP,QiDao,qidao,Qidao
CDP,Pando Leaf,pando,Pando
CDP,Helio Protocol,helio,Helio
Yield,Homora V2,alpha_homora,Alpha Homora
Bridge,Axelar,axelar,Axelar
Synthetics,Alchemix,alchemix,Alchemix
Yield,StakeDAO,stakedao,Stakedao
Yield,ParaSpace APE Staking,paraspace,Paraspace
Lending,EOS REX,,
Yield,Tranchess,tranchess,Tranchess
Dexes,MDEX,mdex,Mdex
Dexes,Minswap,,
Dexes,xExchange,,
