from,to,contract_address,value,evt_block_time,evt_tx_hash,Token Price (USD),Symbol,decimal,Token Liquidity (Top 20 LPs),Type,From Entity,From Context,To Entity,To Context
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,297575990000,2023-05-01 00:00:23.000 UTC,0x2969e5b260a38ec4404ff3a6391aef2a366380aba692d5ead55ffd03e268ed61,0.999914,USDC,6.0,1140350724.3129728,Tracked Wallet Buy & Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,202107844729016440957,2023-05-01 00:00:47.000 UTC,0xa4cefdcb91a16859e6e2f09f25777b050adcaffda2d525a3c13b019d599d3783,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,1294818372,2023-05-01 00:00:47.000 UTC,0xa4cefdcb91a16859e6e2f09f25777b050adcaffda2d525a3c13b019d599d3783,27628.0,WBTC,8.0,688599467.2829709,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,5352161715753076563870,2023-05-01 00:00:47.000 UTC,0x53844b07f64b6d256c4711e225bf9f886506bedf1ba39932ae169c15f4c9b236,4.77,CVX,18.0,56222285.896883264,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,14715581043205002000,2023-05-01 00:00:47.000 UTC,0x53844b07f64b6d256c4711e225bf9f886506bedf1ba39932ae169c15f4c9b236,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x8301ae4fc9c624d1d396cbdaa1ed877821d7c511,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xd533a949740bb3306d119cc777fa900ba034cd52,41629016625570165027249,2023-05-01 00:00:47.000 UTC,0x12e92b89504c6114a888d07c4f3871edd993ed03060a9b2031a9ede44f660462,0.833715,CRV,18.0,138835777.9062083,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x8301ae4fc9c624d1d396cbdaa1ed877821d7c511,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20160391997857272000,2023-05-01 00:00:47.000 UTC,0x12e92b89504c6114a888d07c4f3871edd993ed03060a9b2031a9ede44f660462,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,70949735666319848643,2023-05-01 00:00:47.000 UTC,0xb91fa5acfd8551ab378d6a34d0b68af44e908cd0346182b39dd4d4d6a2cdaa96,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,454439773,2023-05-01 00:00:47.000 UTC,0xb91fa5acfd8551ab378d6a34d0b68af44e908cd0346182b39dd4d4d6a2cdaa96,27628.0,WBTC,8.0,688599467.2829709,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,229178552235,2023-05-01 00:01:11.000 UTC,0x34064c95ff11d76c5dee10ef5cdc464edf0bcdcb8bbcf01b12884cec6048f519,0.999914,USDC,6.0,1140350724.3129728,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,122431652014842613073,2023-05-01 00:01:11.000 UTC,0x34064c95ff11d76c5dee10ef5cdc464edf0bcdcb8bbcf01b12884cec6048f519,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xdac17f958d2ee523a2206206994597c13d831ec7,56227113416,2023-05-01 00:01:47.000 UTC,0xb7558e864cc306df48d3181daff65b43cee74151cac4956cbd6cd7b58b25f0df,1.001,USDT,6.0,939835820.9434662,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,29978883597760122706,2023-05-01 00:01:47.000 UTC,0xb7558e864cc306df48d3181daff65b43cee74151cac4956cbd6cd7b58b25f0df,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,252467903326,2023-05-01 00:01:47.000 UTC,0x1c705d0f7ace107e63e8b06fe1d07e1de90de7daecdf0c6e844bba9c42a74ec7,0.999914,USDC,6.0,1140350724.3129728,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
